"","player_name","total_distance","team","homeplate_lat","homeplate_lon","second_base_lat","second_base_lon","ref_distance_lat_127","ref_distance_lon_127"
"1","Michael Brantley",6947,"HOU",29.756694,-95.355361,29.757005,-95.355473,0.00031099999999995,-0.000112000000001444
"2","Eduardo Escobar",6477,"ARI",33.445,-112.066722,33.44534,-112.066712,0.000340000000001339,1.00000000031741e-05
"3","Jorge Polanco",6270,"MIN",44.981717,-93.278297,44.981718,-93.277824,9.99999997475243e-07,0.000472999999999502
"4","Paul DeJong",6210,"STL",38.622411,-90.193393,38.622566,-90.193001,0.000154999999999461,0.000392000000005055
"5","Anthony Rizzo",6084,"CHC",41.947908,-87.655819,41.948176,-87.655537,0.000267999999998381,0.000281999999998561
"6","Alex Bregman",5959,"HOU",29.756694,-95.355361,29.757005,-95.355473,0.00031099999999995,-0.000112000000001444
"7","Nomar Mazara",5872,"TEX",32.75158,-97.082989,32.751332,-97.082706,-0.000247999999999138,0.000282999999996036
"8","Luke Voit",5828,"NYY",40.829489,-73.926951,40.829577,-73.926509,8.79999999980896e-05,0.000442000000006715
"9","Paul Goldschmidt",5788,"STL",38.622411,-90.193393,38.622566,-90.193001,0.000154999999999461,0.000392000000005055
"10","Stephen Piscotty",5749,"OAK",37.751328,-122.201074,37.751522,122.200718,0.000194000000000472,244.401792
